h;X;Freq;Z
1;6.5;8.2;40,85530
1;6.5;8.22;40,84436
1;6.5;8.24;40,97956
1;6.5;8.26;40,26401
1;6.5;8.28;40,70093
1;6.5;8.3;40,29361
1;6.5;8.32;41,04548
1;6.5;8.34;41,96005
1;6.5;8.36;41,04095
1;6.5;8.38;41,29194
1;6.5;8.4;41,71686
1;6.5;8.42;41,31970
1;6.5;8.44;41,10458
1;6.5;8.46;41,07573
1;6.5;8.48;41,23752
1;6.5;8.5;42,59446
1;6.5;8.52;42,15118
1;6.5;8.54;42,91247
1;6.5;8.56;42,88327
1;6.5;8.58;42,06863
1;6.5;8.6;42,47379
1;6.5;8.62;42,10411
1;6.5;8.64;43,96511
1;6.5;8.66;43,06246
1;6.5;8.68;43,40197
1;6.5;8.7;43,98961
1;6.5;8.72;43,83147
1;6.5;8.74;43,93378
1;6.5;8.76;43,30290
1;6.5;8.78;44,94530
1;6.5;8.8;44,86753
1;6.5;8.82;44,07625
1;6.5;8.84;44,57815
1;6.5;8.86;44,37995
1;6.5;8.88;44,48838
1;6.5;8.9;45,91008
1;6.5;8.92;45,65162
1;6.5;8.94;45,71938
1;6.5;8.96;45,11950
1;6.5;8.98;45,85777
1;6.5;9;45,93956
1;6.5;9.02;46,36961
1;6.5;9.04;46,15198
1;6.5;9.06;46,28978
1;6.5;9.08;46,78497
1;6.5;9.1;46,63814
1;6.5;9.12;47,84814
1;6.5;9.14;47,41178
1;6.5;9.16;47,32338
1;6.5;9.18;47,57427
1;6.5;9.2;48,15223
1;6.5;9.22;48,04082
1;6.5;9.24;48,21861
1;6.5;9.26;48,65833
1;6.5;9.28;49,32582
1;6.5;9.3;49,17897
1;6.5;9.32;49,16645
1;6.5;9.34;49,22639
1;6.5;9.36;49,28494
1;6.5;9.38;50,25477
1;6.5;9.4;50,03367
1;6.5;9.42;50,50316
1;6.5;9.44;50,52741
1;6.5;9.46;51,95254
1;6.5;9.48;51,60654
1;6.5;9.5;51,30003
1;6.5;9.52;51,82811
1;6.5;9.54;51,97359
1;6.5;9.56;52,51168
1;6.5;9.58;52,21625
1;6.5;9.6;52,86766
1;6.5;9.62;52,26160
1;6.5;9.64;52,21860
1;6.5;9.66;52,59331
1;6.5;9.68;52,28265
1;6.5;9.7;52,23194
1;6.5;9.72;52,43829
1;6.5;9.74;52,95077
1;6.5;9.76;52,86739
1;6.5;9.78;52,32922
1;6.5;9.8;52,51242
1;6.5;9.82;52,61907
1;6.5;9.84;51,86760
1;6.5;9.86;51,48387
1;6.5;9.88;51,69322
1;6.5;9.9;51,71399
1;6.5;9.92;51,75268
1;6.5;9.94;50,00055
1;6.5;9.96;50,63166
1;6.5;9.98;50,80196
1;6.5;10;50,64931
1;6.5;10.02;49,29411
1;6.5;10.04;49,84039
1;6.5;10.06;49,37709
1;6.5;10.08;49,97955
1;6.5;10.1;48,71094
1;6.5;10.12;48,62375
1;6.5;10.14;48,76110
1;6.5;10.16;48,15802
1;6.5;10.18;48,84255
1;6.5;10.2;47,83678
1;6.5;10.22;47,15771
1;6.5;10.24;47,81803
1;6.5;10.26;47,82685
1;6.5;10.28;46,19018
1;6.5;10.3;46,91154
1;6.5;10.32;46,99233
1;6.5;10.34;46,43218
1;6.5;10.36;46,22933
1;6.5;10.38;45,38081
1;6.5;10.4;45,88275
1;6.5;10.42;45,73049
1;6.5;10.44;45,91879
1;6.5;10.46;45,44195
1;6.5;10.48;44,29392
1;6.5;10.5;44,46838
1;6.5;10.52;44,95884
1;6.5;10.54;44,75870
1;6.5;10.56;44,86131
1;6.5;10.58;44,25999
1;6.5;10.6;43,94808
1;6.5;10.62;43,91899
1;6.5;10.64;43,16619
1;6.5;10.66;43,68325
1;6.5;10.68;43,46385
1;6.5;10.7;43,50181
1;6.5;10.72;42,79105
1;6.5;10.74;42,32565
1;6.5;10.76;42,09983
1;6.5;10.78;42,10796
1;6.5;10.8;42,34454
1;6.5;10.82;42,80425
1;6.5;10.84;42,48189
1;6.5;10.86;42,37242
1;6.5;10.88;41,47094
1;6.5;10.9;41,77271
1;6.5;10.92;41,27312
1;6.5;10.94;41,96769
1;6.5;10.96;41,85208
1;6.5;10.98;41,92210
1;6.5;11;41,17365
1;6.5;11.02;41,60280
1;6.5;11.04;40,20571
1;6.5;11.06;40,97868
1;6.5;11.08;40,91809
1;6.5;11.1;40,02047
1;6.5;11.12;40,28243
1;6.5;11.14;40,70069
1;6.5;11.16;40,27209
1;6.5;11.18;40,99355
1;6.5;11.2;40,86207
1;6.5;11.22;39,87476
1;6.5;11.24;39,02882
1;6.5;11.26;39,32153
1;6.5;11.28;39,75024
1;6.5;11.3;39,31240
1;6.5;11.32;39,00551
1;6.5;11.34;39,82718
1;6.5;11.36;39,77505
1;6.5;11.38;39,84686
1;6.5;11.4;39,04041
1;6.5;11.42;39,35356
1;6.5;11.44;38,78422
1;6.5;11.46;38,33037
1;6.5;11.48;38,99007
1;6.5;11.5;38,76140
1;6.5;11.52;38,64252
1;6.5;11.54;38,63162
1;6.5;11.56;38,72697
1;6.5;11.58;38,92685
1;6.5;11.6;38,22963
1;6.5;11.62;38,63369
1;6.5;11.64;38,13748
1;6.5;11.66;38,73947
1;6.5;11.68;38,43819
1;6.5;11.7;37,23220
1;6.5;11.72;37,12011
1;6.5;11.74;37,10055
1;6.5;11.76;37,17220
1;6.5;11.78;37,33378
1;6.5;11.8;37,58402
1;6.5;11.82;37,92171
1;6.5;11.84;37,34566
1;6.5;11.86;37,85470
1;6.5;11.88;37,44772
1;6.5;11.9;37,12361
1;6.5;11.92;37,88130
1;6.5;11.94;37,71975
1;6.5;11.96;37,63795
1;6.5;11.98;37,63490
1;6.5;12;36,70965
1;6.5;12.02;36,86124
1;6.5;12.04;36,08876
1;6.5;12.06;36,39133
1;6.5;12.08;36,76807
1;6.5;12.1;36,21812
1;6.5;12.12;36,74067
1;6.5;12.14;36,33491
1;6.5;12.16;36,00005
1;6.5;12.18;36,73532
1;6.5;12.2;36,53997
1;6.5;12.22;36,41328
1;6.5;12.24;36,35453
1;6.5;12.26;36,36303
1;6.5;12.28;36,43811
1;6.5;12.3;36,57909
1;6.5;12.32;36,78534
1;6.5;12.34;36,05623
1;6.5;12.36;36,39115
1;6.5;12.38;35,78949
1;6.5;12.4;35,25068
2;6.5;8.2;40,96700
2;6.5;8.22;41,72725
2;6.5;8.24;41,54372
2;6.5;8.26;40,48063
2;6.5;8.28;40,81932
2;6.5;8.3;40,73299
2;6.5;8.32;41,57588
2;6.5;8.34;42,62461
2;6.5;8.36;41,98722
2;6.5;8.38;42,02317
2;6.5;8.4;42,36707
2;6.5;8.42;41,57394
2;6.5;8.44;41,10836
2;6.5;8.46;41,56057
2;6.5;8.48;41,39702
2;6.5;8.5;43,21266
2;6.5;8.52;42,24892
2;6.5;8.54;43,03515
2;6.5;8.56;43,38187
2;6.5;8.58;42,09488
2;6.5;8.6;42,94381
2;6.5;8.62;42,55407
2;6.5;8.64;43,99523
2;6.5;8.66;43,39973
2;6.5;8.68;43,48116
2;6.5;8.7;44,41823
2;6.5;8.72;44,77812
2;6.5;8.74;44,57718
2;6.5;8.76;43,93037
2;6.5;8.78;44,99876
2;6.5;8.8;45,14753
2;6.5;8.82;44,29719
2;6.5;8.84;45,02050
2;6.5;8.86;44,79446
2;6.5;8.88;45,35351
2;6.5;8.9;45,95578
2;6.5;8.92;46,01270
2;6.5;8.94;46,23947
2;6.5;8.96;45,85952
2;6.5;8.98;46,05511
2;6.5;9;46,33555
2;6.5;9.02;46,42044
2;6.5;9.04;46,94067
2;6.5;9.06;47,11057
2;6.5;9.08;47,48269
2;6.5;9.1;46,63979
2;6.5;9.12;48,08333
2;6.5;9.14;47,84704
2;6.5;9.16;47,69011
2;6.5;9.18;47,89175
2;6.5;9.2;48,29114
2;6.5;9.22;48,51002
2;6.5;9.24;48,53043
2;6.5;9.26;49,11476
2;6.5;9.28;50,01262
2;6.5;9.3;49,94340
2;6.5;9.32;49,30037
2;6.5;9.34;50,02262
2;6.5;9.36;49,36020
2;6.5;9.38;50,32490
2;6.5;9.4;50,63698
2;6.5;9.42;50,62416
2;6.5;9.44;50,66025
2;6.5;9.46;52,36460
2;6.5;9.48;52,07991
2;6.5;9.5;52,01132
2;6.5;9.52;52,41882
2;6.5;9.54;51,98029
2;6.5;9.56;53,27660
2;6.5;9.58;52,39385
2;6.5;9.6;53,52066
2;6.5;9.62;52,36439
2;6.5;9.64;52,71520
2;6.5;9.66;52,88241
2;6.5;9.68;53,22910
2;6.5;9.7;52,29261
2;6.5;9.72;53,31439
2;6.5;9.74;53,88243
2;6.5;9.76;53,75676
2;6.5;9.78;52,46627
2;6.5;9.8;53,03953
2;6.5;9.82;53,24531
2;6.5;9.84;52,17724
2;6.5;9.86;52,10226
2;6.5;9.88;51,82682
2;6.5;9.9;52,38335
2;6.5;9.92;52,46904
2;6.5;9.94;50,73242
2;6.5;9.96;50,65232
2;6.5;9.98;51,80153
2;6.5;10;51,11906
2;6.5;10.02;49,65709
2;6.5;10.04;50,68715
2;6.5;10.06;49,61412
2;6.5;10.08;50,03667
2;6.5;10.1;49,34852
2;6.5;10.12;48,98659
2;6.5;10.14;49,70684
2;6.5;10.16;49,01191
2;6.5;10.18;49,59637
2;6.5;10.2;48,38460
2;6.5;10.22;47,36719
2;6.5;10.24;48,21320
2;6.5;10.26;48,03062
2;6.5;10.28;46,73303
2;6.5;10.3;47,36193
2;6.5;10.32;47,50001
2;6.5;10.34;46,98920
2;6.5;10.36;47,10744
2;6.5;10.38;46,37375
2;6.5;10.4;46,87530
2;6.5;10.42;46,68863
2;6.5;10.44;46,49335
2;6.5;10.46;46,19570
2;6.5;10.48;44,43545
2;6.5;10.5;44,64376
2;6.5;10.52;45,35082
2;6.5;10.54;45,19599
2;6.5;10.56;45,00959
2;6.5;10.58;45,09134
2;6.5;10.6;44,34296
2;6.5;10.62;44,55812
2;6.5;10.64;43,94671
