Start Time = Sat Jun 18 09:39:02 2022
[0/501][0/1174]	Loss_D: 2.6410	Loss_G: 12.0184	D(x): 0.2805	D(G(z)): 0.6201 / 0.0000
[0/501][50/1174]	Loss_D: 6.6601	Loss_G: 0.8128	D(x): 0.0048	D(G(z)): 0.0352 / 0.5832
[0/501][100/1174]	Loss_D: 3.1625	Loss_G: 7.7359	D(x): 0.6459	D(G(z)): 0.8790 / 0.0006
[0/501][150/1174]	Loss_D: 0.9936	Loss_G: 2.3911	D(x): 0.6208	D(G(z)): 0.2752 / 0.0909
[0/501][200/1174]	Loss_D: 2.3601	Loss_G: 0.3635	D(x): 0.1102	D(G(z)): 0.0680 / 0.7420
[0/501][250/1174]	Loss_D: 1.6650	Loss_G: 0.6633	D(x): 0.3869	D(G(z)): 0.3874 / 0.5177
[0/501][300/1174]	Loss_D: 1.7246	Loss_G: 0.3285	D(x): 0.3478	D(G(z)): 0.2501 / 0.7784
[0/501][350/1174]	Loss_D: 2.3354	Loss_G: 1.4858	D(x): 0.6244	D(G(z)): 0.8212 / 0.2332
[0/501][400/1174]	Loss_D: 2.3362	Loss_G: 3.9434	D(x): 0.9784	D(G(z)): 0.8760 / 0.0163
[0/501][450/1174]	Loss_D: 0.8343	Loss_G: 2.5466	D(x): 0.7546	D(G(z)): 0.3579 / 0.0711
[0/501][500/1174]	Loss_D: 0.4581	Loss_G: 1.8953	D(x): 0.7695	D(G(z)): 0.1168 / 0.1581
[0/501][550/1174]	Loss_D: 0.4214	Loss_G: 2.9209	D(x): 0.8623	D(G(z)): 0.1517 / 0.0502
[0/501][600/1174]	Loss_D: 2.7894	Loss_G: 1.9152	D(x): 0.6911	D(G(z)): 0.8861 / 0.1714
[0/501][650/1174]	Loss_D: 0.7933	Loss_G: 1.7128	D(x): 0.5283	D(G(z)): 0.0858 / 0.1776
[0/501][700/1174]	Loss_D: 1.0512	Loss_G: 1.1534	D(x): 0.5793	D(G(z)): 0.3627 / 0.3269
[0/501][750/1174]	Loss_D: 1.0878	Loss_G: 3.2995	D(x): 0.8855	D(G(z)): 0.5552 / 0.0365
[0/501][800/1174]	Loss_D: 0.3226	Loss_G: 2.5499	D(x): 0.9146	D(G(z)): 0.0941 / 0.0722
[0/501][850/1174]	Loss_D: 0.2363	Loss_G: 3.8658	D(x): 0.9225	D(G(z)): 0.0159 / 0.0177
[0/501][900/1174]	Loss_D: 0.8439	Loss_G: 1.9913	D(x): 0.6215	D(G(z)): 0.2677 / 0.1291
[0/501][950/1174]	Loss_D: 0.4375	Loss_G: 2.2894	D(x): 0.8339	D(G(z)): 0.1447 / 0.0919
[0/501][1000/1174]	Loss_D: 1.8151	Loss_G: 0.5666	D(x): 0.1703	D(G(z)): 0.0895 / 0.5786
[0/501][1050/1174]	Loss_D: 1.3235	Loss_G: 1.1631	D(x): 0.6670	D(G(z)): 0.5839 / 0.2995
[0/501][1100/1174]	Loss_D: 0.3444	Loss_G: 2.7891	D(x): 0.8706	D(G(z)): 0.0915 / 0.0539
[0/501][1150/1174]	Loss_D: 0.4262	Loss_G: 2.5113	D(x): 0.8550	D(G(z)): 0.1574 / 0.0726
[1/501][0/1174]	Loss_D: 1.6984	Loss_G: 0.3156	D(x): 0.2081	D(G(z)): 0.1622 / 0.7870
[1/501][50/1174]	Loss_D: 1.5251	Loss_G: 1.1395	D(x): 0.5699	D(G(z)): 0.6052 / 0.3118
[1/501][100/1174]	Loss_D: 0.4820	Loss_G: 3.4103	D(x): 0.9305	D(G(z)): 0.2262 / 0.0283
[1/501][150/1174]	Loss_D: 0.7582	Loss_G: 3.7471	D(x): 0.9197	D(G(z)): 0.4106 / 0.0202
[1/501][200/1174]	Loss_D: 1.5546	Loss_G: 0.3813	D(x): 0.2696	D(G(z)): 0.2225 / 0.7228
[1/501][250/1174]	Loss_D: 1.3710	Loss_G: 1.8731	D(x): 0.8904	D(G(z)): 0.6696 / 0.1445
[1/501][300/1174]	Loss_D: 0.7318	Loss_G: 2.1169	D(x): 0.6670	D(G(z)): 0.1796 / 0.1145
[1/501][350/1174]	Loss_D: 2.7901	Loss_G: 0.3838	D(x): 0.0899	D(G(z)): 0.1432 / 0.7184
[1/501][400/1174]	Loss_D: 1.9034	Loss_G: 3.7126	D(x): 0.9950	D(G(z)): 0.7725 / 0.0214
[1/501][450/1174]	Loss_D: 0.3981	Loss_G: 3.2161	D(x): 0.8819	D(G(z)): 0.1469 / 0.0359
[1/501][500/1174]	Loss_D: 0.3558	Loss_G: 3.1768	D(x): 0.7763	D(G(z)): 0.0265 / 0.0400
[1/501][550/1174]	Loss_D: 0.4514	Loss_G: 2.6662	D(x): 0.8606	D(G(z)): 0.1799 / 0.0611
[1/501][600/1174]	Loss_D: 4.0277	Loss_G: 0.6385	D(x): 0.9469	D(G(z)): 0.9716 / 0.5348
[1/501][650/1174]	Loss_D: 1.1617	Loss_G: 2.4909	D(x): 0.7247	D(G(z)): 0.5399 / 0.0756
[1/501][700/1174]	Loss_D: 1.4872	Loss_G: 4.6665	D(x): 0.8653	D(G(z)): 0.6880 / 0.0075
[1/501][750/1174]	Loss_D: 0.5691	Loss_G: 1.9826	D(x): 0.7268	D(G(z)): 0.1354 / 0.1592
[1/501][800/1174]	Loss_D: 0.8808	Loss_G: 1.1361	D(x): 0.5060	D(G(z)): 0.1385 / 0.3172
[1/501][850/1174]	Loss_D: 0.3552	Loss_G: 2.9135	D(x): 0.8301	D(G(z)): 0.0657 / 0.0494
[1/501][900/1174]	Loss_D: 1.7223	Loss_G: 1.0472	D(x): 0.1866	D(G(z)): 0.0171 / 0.3579
[1/501][950/1174]	Loss_D: 0.2480	Loss_G: 4.0885	D(x): 0.9385	D(G(z)): 0.0238 / 0.0136
[1/501][1000/1174]	Loss_D: 1.1178	Loss_G: 2.3369	D(x): 0.6662	D(G(z)): 0.4808 / 0.0905
[1/501][1050/1174]	Loss_D: 0.8610	Loss_G: 1.4486	D(x): 0.5211	D(G(z)): 0.1493 / 0.2267
[1/501][1100/1174]	Loss_D: 0.2446	Loss_G: 4.3469	D(x): 0.9078	D(G(z)): 0.0103 / 0.0106
[1/501][1150/1174]	Loss_D: 0.2222	Loss_G: 4.7818	D(x): 0.9365	D(G(z)): 0.0092 / 0.0071
[2/501][0/1174]	Loss_D: 3.2171	Loss_G: 1.8622	D(x): 0.6164	D(G(z)): 0.9030 / 0.2776
[2/501][50/1174]	Loss_D: 0.8913	Loss_G: 2.4962	D(x): 0.4681	D(G(z)): 0.0870 / 0.0875
[2/501][100/1174]	Loss_D: 0.5332	Loss_G: 4.2408	D(x): 0.9809	D(G(z)): 0.2448 / 0.0122
[2/501][150/1174]	Loss_D: 0.5379	Loss_G: 3.2472	D(x): 0.8148	D(G(z)): 0.2062 / 0.0370
[2/501][200/1174]	Loss_D: 0.3220	Loss_G: 1.9190	D(x): 0.8051	D(G(z)): 0.0196 / 0.1416
[2/501][250/1174]	Loss_D: 0.4487	Loss_G: 2.3634	D(x): 0.9036	D(G(z)): 0.1893 / 0.0875
[2/501][300/1174]	Loss_D: 0.3770	Loss_G: 4.7748	D(x): 0.9179	D(G(z)): 0.1114 / 0.0071
[2/501][350/1174]	Loss_D: 0.5375	Loss_G: 1.5741	D(x): 0.8777	D(G(z)): 0.2285 / 0.2202
[2/501][400/1174]	Loss_D: 1.0127	Loss_G: 3.6072	D(x): 0.9721	D(G(z)): 0.4941 / 0.0249
[2/501][450/1174]	Loss_D: 0.4786	Loss_G: 2.6164	D(x): 0.9525	D(G(z)): 0.2293 / 0.0660
[2/501][500/1174]	Loss_D: 0.4118	Loss_G: 2.8131	D(x): 0.7936	D(G(z)): 0.0917 / 0.0573
[2/501][550/1174]	Loss_D: 1.0429	Loss_G: 2.5891	D(x): 0.9715	D(G(z)): 0.5320 / 0.0796
[2/501][600/1174]	Loss_D: 1.0988	Loss_G: 1.4941	D(x): 0.7328	D(G(z)): 0.4990 / 0.2270
[2/501][650/1174]	Loss_D: 0.4555	Loss_G: 2.0204	D(x): 0.9491	D(G(z)): 0.2148 / 0.1247
[2/501][700/1174]	Loss_D: 2.1634	Loss_G: 1.0146	D(x): 0.1177	D(G(z)): 0.0591 / 0.3858
[2/501][750/1174]	Loss_D: 2.2721	Loss_G: 3.9775	D(x): 0.9924	D(G(z)): 0.8558 / 0.0213
[2/501][800/1174]	Loss_D: 0.7299	Loss_G: 2.4009	D(x): 0.4981	D(G(z)): 0.0038 / 0.1213
[2/501][850/1174]	Loss_D: 2.6093	Loss_G: 0.2337	D(x): 0.0692	D(G(z)): 0.0019 / 0.8993
[2/501][900/1174]	Loss_D: 0.6239	Loss_G: 2.0266	D(x): 0.6928	D(G(z)): 0.1825 / 0.1313
[2/501][950/1174]	Loss_D: 0.2892	Loss_G: 2.9579	D(x): 0.9681	D(G(z)): 0.0652 / 0.0475
[2/501][1000/1174]	Loss_D: 0.3784	Loss_G: 2.7950	D(x): 0.8946	D(G(z)): 0.1363 / 0.0595
[2/501][1050/1174]	Loss_D: 0.7570	Loss_G: 1.7154	D(x): 0.7622	D(G(z)): 0.3400 / 0.1686
[2/501][1100/1174]	Loss_D: 0.2238	Loss_G: 4.8004	D(x): 0.9450	D(G(z)): 0.0075 / 0.0066
